"Schoolid","School_Name","medium","Latitude","Longitude","shift","low_class","High_class","Z_ID","Zone_Name","D_ID","District_name","SchManagement","SchCategory"
"1925206","Tuglakabad Extn.-Air Force Bal Niketan School","N/A","28.513151859076199","77.239777198342594","Morning","6","8","1923","Zone-23","19","South","Aided","Middle Schools"
"1925349","Institute of Blind Andh Vidyalaya","N/A","28.561273353914999","77.244730779310601","Morning","6","8","2225","Zone-25","22","South East","Aided","Middle Schools"
"2026020","Baird Road-D. A. V. No. 2 Sec. School","N/A","null","null","Morning","6","10","2026","Zone-26","20","New Delhi","Aided","Secondary Schools"
"2026021","Mandir Marg-DTEA Sr. Sec. School","N/A","28.6349052836885","77.199994976032798","Morning","6","12","2026","Zone-26","20","New Delhi","Aided","Senior Secondary Schools"
"2026022","Lodhi Estate-DTEA Sr. Sec. School","N/A","28.594588235042","77.226051341103698","Morning","6","12","2026","Zone-26","20","New Delhi","Aided","Senior Secondary Schools"
"2026023","Mandir Marg-Daya Nand Model Sr. Sec. School","N/A","28.637747463688498","77.201851315374398","Morning","6","12","2026","Zone-26","20","New Delhi","Aided","Senior Secondary Schools"
"2026024","Lodhi Estate-Delhi Kannada Sr. Sec. School","N/A","28.598256742316199","77.227821979544302","Morning","6","12","2026","Zone-26","20","New Delhi","Aided","Senior Secondary Schools"
"2026025","Mandir Marg-Har Court Butter Sr. Sec. School","N/A","28.6335049435767","77.199360166268406","Morning","6","12","2026","Zone-26","20","New Delhi","Aided","Senior Secondary Schools"
"2026026","Lal Bahadur Shastri Marg-JPM Blind Sr. Sec. School","N/A","28.5941935390438","77.239139314203399","Morning","Nursery","12","2026","Zone-26","20","New Delhi","Aided","Sarvodaya Sr. Secondary Schools"
"2026027","Canning Road-Kerala Edn. Society Sr. Sec. School","N/A","28.621356401802402","77.231323369477295","Morning","6","12","2026","Zone-26","20","New Delhi","Aided","Senior Secondary Schools"
"2026028","Bangla Sahib Marg-Khrist Raja Sec. School","N/A","28.631164365881901","77.210635053386","Morning","Nursery","10","2026","Zone-26","20","New Delhi","Aided","Sarvodaya Secondary Schools"
"2026029","Canning Road-Lady Irwin Sr. Sec. School","N/A","28.572888771269799","77.235944939299799","Morning","6","12","2026","Zone-26","20","New Delhi","Aided","Senior Secondary Schools"
"2026030","Kashmir House-Lion Vidya Mandir Sec. School","N/A","28.604417865293499","77.201983627300805","Morning","6","10","2026","Zone-26","20","New Delhi","Aided","Secondary Schools"
"2026031","Atul Grove Road-P&T Sec. School","N/A","28.624187635940601","77.221976682209998","Morning","6","12","2026","Zone-26","20","New Delhi","Aided","Senior Secondary Schools"
"2026032","Raja Bazar- R. M. Arya Girls Sr. Sec. School","N/A","28.630348025177199","77.212123480406206","Morning","6","12","2026","Zone-26","20","New Delhi","Aided","Senior Secondary Schools"
"2026033","Mandir Marg-Raisina Bengali Sr. Sec. School","N/A","28.637191958070598","77.202020035342201","Morning","6","12","2026","Zone-26","20","New Delhi","Aided","Senior Secondary Schools"
"2026034","Mata Sundri Road-SGHK Girls Sr. Secondary School","N/A","28.634844881357498","77.234524542013304","Morning","Nursery","12","2127","Zone-27","21","Central","Aided","Sarvodaya Sr. Secondary Schools"
"2026035","Lodhi Estate-Shyama Prasad Vidyalaya","N/A","28.597157547509799","77.225571157776798","Morning","6","12","2026","Zone-26","20","New Delhi","Aided","Senior Secondary Schools"
"2026036","Tees Januari Lane-Smt. R. K. K. Gyan Mandir Middle School","N/A","null","null","Morning","6","8","2026","Zone-26","20","New Delhi","Aided","Middle Schools"
"2026037","Raja Bazar-Union Academy Sr. Sec. School","N/A","28.631516823783201","77.210902457277498","Morning","6","12","2026","Zone-26","20","New Delhi","Aided","Senior Secondary Schools"
"2026038","Lodhi Estate-Vidya Bhawan Mahavidyalaya Sr. Sec. School","N/A","28.594601294691198","77.226446502483995","Morning","6","12","2026","Zone-26","20","New Delhi","Aided","Senior Secondary Schools"
"2026115","Punchkuian Road-Andh Mahavidyalya Middle School","N/A","28.639629187432799","77.206845511531299","Morning","6","8","2026","Zone-26","20","New Delhi","Aided","Middle Schools"
"2026116","Connaught Place-Bal Sahyog Middle School","N/A","28.6350343477555","77.222447529931799","Morning","6","8","2026","Zone-26","20","New Delhi","Aided","Middle Schools"
"2026117","Race Cource-Air Force Sr. Sec. School","N/A","28.600505844051298","77.202584326114106","Morning","6","12","2026","Zone-26","20","New Delhi","Aided","Senior Secondary Schools"
"2127079","Ajmeri Gate-ARSD Sr. Sec. School","N/A","28.6465956953115","77.225092135827893","Morning","6","12","2127","Zone-27","21","Central","Aided","Senior Secondary Schools"
"2127080","Darya Ganj-ASVJ Sr. Sec. School","N/A","28.647760511083099","77.241120412063196","Morning","6","12","2127","Zone-27","21","Central","Aided","Senior Secondary Schools"
"2127081","Rouse Avenue-Andhra Edn. Society Sr. Sec. School","N/A","28.6281618414653","77.238451450908997","Morning","6","12","2127","Zone-27","21","Central","Aided","Senior Secondary Schools"
"2127082","Ajmeri Gate-Anglo Arabic Sr, Sec. School","N/A","28.645905622277802","77.222004387300004","Morning","6","12","2127","Zone-27","21","Central","Aided","Senior Secondary Schools"
"2127083","Chawri Bazar-Arya Samaj Girls Sr. Sec. School","N/A","28.649960950796299","77.231505183127695","Morning","6","12","2127","Zone-27","21","Central","Aided","Senior Secondary Schools"
"2127084","Sita Ram Bazar-B. D. Arya Girls Sr. Sec. School","N/A","28.6460573184136","77.228767906584693","Morning","6","12","2127","Zone-27","21","Central","Aided","Senior Secondary Schools"
"2127085","Rajghat-B. R. Sanskrit Ved Vedang Vidyalaya","N/A","28.6396087666011","77.254097357573798","Morning","6","12","2127","Zone-27","21","Central","Aided","Senior Secondary Schools"
"2127086","Darya Ganj, 24-Commercial Sr. Sec. School","N/A","28.641784473209199","77.242974596032397","Morning","6","12","2127","Zone-27","21","Central","Aided","Senior Secondary Schools"
"2127087","Darya Ganj-H. M. D. A. V. Sr. Sec. School","N/A","28.645623148207399","77.241229106819205","Morning","6","12","2127","Zone-27","21","Central","Aided","Senior Secondary Schools"
"2127088","Darya Ganj, 17-Francis Girs Sr. Sec. School","N/A","28.647375873329398","77.242750680811596","Morning","Nursery","12","2127","Zone-27","21","Central","Aided","Sarvodaya Sr. Secondary Schools"
"2127089","Bazar Sita Ram, Kali Masjid-Guru Nanak Girls Middle School","N/A","28.6442158814768","77.2313484087841","Morning","Nursery","8","2127","Zone-27","21","Central","Aided","Sarvodaya Middle Schools"
"2127090","Darya Ganj-Hakim Ajmal Khan Girls Sec. School","N/A","28.645929158748601","77.241580050656395","Morning","6","12","2127","Zone-27","21","Central","Aided","Senior Secondary Schools"
"2127091","Jama Masjid-Inderprastha Hindu Girls Sr. Sec. School","N/A","28.651547669321001","77.2321449188466","Morning","6","12","2127","Zone-27","21","Central","Aided","Senior Secondary Schools"
"2127092","Darya Ganj-Jain Boys Sr. Sec. School","N/A","28.648769816125402","77.241920539781106","Morning","6","12","2127","Zone-27","21","Central","Aided","Senior Secondary Schools"
"2127093","Dharampura-Jain Girls Sr. Sec. School","N/A","28.6527255375693","77.231615437308506","Morning","6","12","2127","Zone-27","21","Central","Aided","Senior Secondary Schools"
"2127094","Bazar Sita Ram-Kamlesh Balika Middle School","N/A","28.646746000344599","77.229621061319904","Morning","6","8","2127","Zone-27","21","Central","Aided","Middle Schools"
"2127095","Nai Sarak-Marwari Sr. Sec. School","N/A","28.6532130360042","77.228774914794002","Morning","6","12","2127","Zone-27","21","Central","Aided","Senior Secondary Schools"
"2127096","Frash Khana-Mazhar-Ul-Islam Sec. School","N/A","28.652545607466902","77.221290896838397","Morning","6","10","2127","Zone-27","21","Central","Aided","Secondary Schools"
"2127097","Rouse Avenue, 11-Nav Shakti Girls Sr. Sec. School","N/A","28.630406385318299","77.2389827919922","Morning","6","12","2127","Zone-27","21","Central","Aided","Senior Secondary Schools"
"2127098","Pahar Ganj-Nav Shakti Vidya Mandir Sr. Sec. School","N/A","28.644971373730801","77.215155993108894","Morning","6","12","2127","Zone-27","21","Central","Aided","Senior Secondary Schools"
"2127099","Darya Ganj-Ramjas Girls Sr. Sec. School","N/A","28.646906507607699","77.241718157580493","Morning","6","12","2127","Zone-27","21","Central","Aided","Senior Secondary Schools"
"2127100","Darya Ganj-Ramjas No. 1 Sr. Sec. School","N/A","28.6468855098618","77.241856704669999","Morning","6","12","2127","Zone-27","21","Central","Aided","Senior Secondary Schools"
"2127101","Bazar Sita Ram, Hauz Rani-Ramjas No. 6 Sec. School","N/A","28.648015813960502","77.226703573576501","Morning","6","10","2127","Zone-27","21","Central","Aided","Secondary Schools"
"2127103","Darya Ganj-Rani Dutta Arya Vidyalaya","N/A","28.648547426524999","77.237666959693698","Morning","6","12","2127","Zone-27","21","Central","Aided","Senior Secondary Schools"
"2127104","Nai Sarak, Chowk Raiji-Rohtagi A. V. H. S. Sr. Sec. School","N/A","28.652390049528801","77.230061673315404","Morning","6","12","2127","Zone-27","21","Central","Aided","Senior Secondary Schools"
"2127106","Pahar Ganj, Nabi Karim-S. D. Hari Mandir Girls Sr. Sec. School","N/A","28.651643111849499","77.211664663629406","Morning","6","12","2127","Zone-27","21","Central","Aided","Senior Secondary Schools"
"2127107","Darya Ganj-S. S. Khalsa Girls Sr. Sec. School","N/A","28.646812792425301","77.241279936529097","Morning","Nursery","12","2127","Zone-27","21","Central","Aided","Sarvodaya Sr. Secondary Schools"
"2127108","Darya Ganj-Samant Bhadara Sanskrit Mahavidalaya","N/A","null","null","Evening","6","12","2127","Zone-27","21","Central","Aided","Senior Secondary Schools"
"2127109","Pahar Ganj-Sant Nirankari Sr. Sec. School","N/A","28.647357728115399","77.208781837941899","Morning","6","12","2127","Zone-27","21","Central","Aided","Senior Secondary Schools"
"2127110","Bazar Sita Ram-Sh. K. R. Bansal Middle School","N/A","null","null","Morning","6","8","2127","Zone-27","21","Central","Aided","Middle Schools"
"2127112","Dariban-Shri Ram Dal Sanskrit Mahavidalaya","N/A","28.654434862564901","77.232814234087101","Evening","6","12","2127","Zone-27","21","Central","Aided","Senior Secondary Schools"
"2127113","Pahar Ganj-St. Anthony Boys Sec. School","N/A","28.645084936346102","77.216355564652304","Morning","Nursery","10","2127","Zone-27","21","Central","Aided","Sarvodaya Secondary Schools"
"2127114","Pahar Ganj-St. Anthony Girls Sr. Sec. School","N/A","28.644949555263999","77.216317847033693","Morning","Nursery","12","2127","Zone-27","21","Central","Aided","Sarvodaya Sr. Secondary Schools"
"2127115","Tiraha Bairanke-Sharda Devi  Sanskrit Mahavidyalaya","N/A","28.64356199082","77.237258071386293","Morning","6","12","2127","Zone-27","21","Central","Aided","Senior Secondary Schools"
"2127119","Pahari Bhojla-Islamia Middle School","N/A","28.646148310164602","77.244862822648201","Morning","Nursery","8","2127","Zone-27","21","Central","Aided","Sarvodaya Middle Schools"
"2128077","Prasad Nagar-Andhra Education Society Sr. Sec. School","N/A","28.648707642194001","77.180176896201701","Morning","6","12","2128","Zone-28","21","Central","Aided","Senior Secondary Schools"
"2128078","Karol Bagh, Reghar Pura-Arya Girls Sr. Sec. School","N/A","28.650127418513001","77.188815790825899","Morning","6","12","2128","Zone-28","21","Central","Aided","Senior Secondary Schools"
"2128079","Rani Jhansi Road-Baba Sahib Ambedkar Sec. School","N/A","28.6442111534896","77.204299957146702","Morning","6","10","2128","Zone-28","21","Central","Aided","Secondary Schools"
"2128080","New Rajinder Nagar-Bapu Adarsh Vidyalaya","N/A","28.629761132787401","77.180263487247402","Morning","6","10","2128","Zone-28","21","Central","Aided","Secondary Schools"
"2128081","Jhandewalan-C L Bhalla DAV Sr. Sec. School","N/A","28.6458910215384","77.200198551642401","Morning","6","12","2128","Zone-28","21","Central","Aided","Senior Secondary Schools"
"2128082","Chitra Gupta Road-DAV Sr. Sec. School","N/A","28.643744774855801","77.208396851145906","Morning","6","12","2128","Zone-28","21","Central","Aided","Senior Secondary Schools"
"2128083","Pusa Road-DTEA Sr. Sec. School","N/A","28.644019381283801","77.194055730749795","Morning","Nursery","12","2128","Zone-28","21","Central","Aided","Sarvodaya Sr. Secondary Schools"
"2128084","New Rajinder Nagar-D. I. Khan Boys Sr. Sec. School","N/A","28.631275746299099","77.1793196899484","Morning","6","12","2128","Zone-28","21","Central","Aided","Senior Secondary Schools"
"2128085","Pusa Road-G D Soni Dav Sr. Sec. School","N/A","28.644041494182101","77.193453592679504","Morning","6","12","2128","Zone-28","21","Central","Aided","Senior Secondary Schools"
"2128086","Jhandewalan, D-2, Link Road-JVSD Sr. Sec. School","N/A","28.6459461782154","77.198872021102403","Morning","6","12","2128","Zone-28","21","Central","Aided","Senior Secondary Schools"
"2128087","Karol Bagh-Jain Vidya Mandir  Middle School","N/A","28.654678945569199","77.188874215139293","Morning","6","8","2128","Zone-28","21","Central","Aided","Middle Schools"
"2128088","Pahar Ganj, Chuna Mandi-Khalsa Girls Sr. Sec. School","N/A","28.642732756947801","77.209599798028606","Morning","6","12","2128","Zone-28","21","Central","Aided","Senior Secondary Schools"
"2128089","Old Rajinder Nagar- Multan DAV Sec. School","N/A","28.640776068189499","77.1889931618676","Morning","6","10","2128","Zone-28","21","Central","Aided","Secondary Schools"
"2128090","New Rohtak Road-Nav Hind Girls Sr. Sec. School","N/A","28.6610648752857","77.190972722658898","Morning","6","12","2128","Zone-28","21","Central","Aided","Senior Secondary Schools"
"2128091","Pahar Ganj-Nutan Marathi Sr. Sec. School","N/A","28.645504831812001","77.208416270882694","Morning","Nursery","12","2128","Zone-28","21","Central","Aided","Sarvodaya Sr. Secondary Schools"
"2128092","Karol Bagh-Rai Kedar Nath L. M. Girls Sr. Sec. School","N/A","28.650508056092701","77.196323048630106","Morning","6","12","2128","Zone-28","21","Central","Aided","Senior Secondary Schools"
"2128093","Chitra Gupta Road-Ramjas No. 4 Sr. Sec. School","N/A","28.644327448620999","77.208831269062401","Morning","6","12","2128","Zone-28","21","Central","Aided","Senior Secondary Schools"
"2128094","Karol Bagh-Ramjas No. 5 Sr. Sec. School","N/A","28.656391912746699","77.191308108561799","Morning","6","12","2128","Zone-28","21","Central","Aided","Senior Secondary Schools"
"2128095","Dev Nagar-SGTB Khalsa Girls Sr. Sec. School","N/A","28.654943711371001","77.187866723933794","Morning","6","12","2128","Zone-28","21","Central","Aided","Senior Secondary Schools"
"2128096","Rajinder Nagar-S. Akalibaba Phoolasingh Sr. Sec. School","N/A","28.643122838665999","77.187861231973301","Morning","6","12","2128","Zone-28","21","Central","Aided","Senior Secondary Schools"
"2128097","Dev Nagar-SGTB Khalsa Boys Sr. Sec. School","N/A","28.654864712211602","77.187827222268197","Morning","Nursery","12","2128","Zone-28","21","Central","Aided","Sarvodaya Sr. Secondary Schools"
"2128098","New Rajinder Nagar-Salwan Boys Sr. Sec. School","N/A","28.640516659604401","77.183395439509297","Morning","6","12","2128","Zone-28","21","Central","Aided","Senior Secondary Schools"
"2128099","Rajinder Nagar-Salwan Girls Sr. Sec. School","N/A","28.642468790932501","77.184950479180003","Morning","6","12","2128","Zone-28","21","Central","Aided","Senior Secondary Schools"
"2128100","Karol Bagh, Arya Samaj Road-Satbharwan Girls Sr. Sec. School","N/A","28.6467032802604","77.194308123642699","Morning","6","12","2128","Zone-28","21","Central","Aided","Senior Secondary Schools"
"2128102","New Rajinder Nagar-Vidya Bhawan Girls Sr. Sec. School","N/A","28.638536533086999","77.176379971648899","Morning","Nursery","12","2128","Zone-28","21","Central","Aided","Sarvodaya Sr. Secondary Schools"
"1001001","Bhola Nath Nagar-SBV (Babu Ram)","N/A","28.667305770498","77.289827172110805","General","Nursery","12","1001","Zone-01","10","East","Government","Sarvodaya Sr. Secondary Schools"
"1001002","Vivek Vihar-SBV","N/A","28.6684277965362","77.317966610517999","Evening","Nursery","12","1001","Zone-01","10","East","Government","Sarvodaya Sr. Secondary Schools"
"1001004","Kanti Nagar-SBV","N/A","28.6667088645214","77.280695720020105","Evening","Nursery","12","1001","Zone-01","10","East","Government","Sarvodaya Sr. Secondary Schools"
"1001006","Surajmal Vihar–SBV","N/A","28.657455514863099","77.305508882245505","Evening","Nursery","12","1001","Zone-01","10","East","Government","Sarvodaya Sr. Secondary Schools"
"1001008","SBV No.1, Bhola Nath Nagar-1001008","N/A","28.666429358977801","77.288878464594703","Evening","Nursery","12","1001","Zone-01","10","East","Government","Sarvodaya Sr. Secondary Schools"
"1001009","Anand Vihar-SKV","N/A","28.652589272708202","77.316268197788006","Morning","Nursery","12","1001","Zone-01","10","East","Government","Sarvodaya Sr. Secondary Schools"
"1001012","Vivek Vihar-GBSS","N/A","28.668817330952098","77.305418605019696","General","6","10","1001","Zone-01","10","East","Government","Secondary Schools"
"1001018","Bhola Nath Nagar, No.1-SKV","N/A","28.6661149905961","77.288839041319406","Morning","Nursery","12","1001","Zone-01","10","East","Government","Sarvodaya Sr. Secondary Schools"
"1001022","Vivek Vihar- SKV","N/A","28.668821","77.318204","Morning","Nursery","12","1001","Zone-01","10","East","Government","Sarvodaya Sr. Secondary Schools"
"1001023","Bhola Nath Nagar, No.3-GGSSS","N/A","28.667499796880101","77.290489034031793","Morning","6","12","1001","Zone-01","10","East","Government","Senior Secondary Schools"
"1001024","Kanti Nagar-GGSSS","N/A","28.666385319301","77.280525123775305","Morning","6","12","1001","Zone-01","10","East","Government","Senior Secondary Schools"
"1001026","Vivek Vihar,Phase-II-GGSSS","N/A","28.6701351782404","77.309219666728197","General","6","12","1001","Zone-01","10","East","Government","Senior Secondary Schools"
"1001102","Surajmal Vihar-SKV","N/A","28.657200023273901","77.305990775686595","Morning","Nursery","12","1001","Zone-01","10","East","Government","Sarvodaya Sr. Secondary Schools"
"1001104","Surajmal Vihar-RPVV","N/A","28.6658709603796","77.307907988094101","General","6","12","1001","Zone-01","10","East","Government","Partibha Vikas Vidhyalya"
"1001105","Jhilmil Colony-SBV","N/A","28.670539392837501","77.309173560134397","Evening","Nursery","12","1001","Zone-01","10","East","Government","Sarvodaya Sr. Secondary Schools"
"1001106","Kiran Vihar-SKV","N/A","28.652874565771501","77.301195818848697","Morning","Nursery","12","1001","Zone-01","10","East","Government","Sarvodaya Sr. Secondary Schools"
"1001109","Kiran Vihar-SBV","N/A","28.6526726823014","77.301590361867099","Evening","Nursery","12","1001","Zone-01","10","East","Government","Sarvodaya Sr. Secondary Schools"
"1001110","Rajgarh Colony-SBV","N/A","28.659611888453","77.2726748832102","General","Nursery","12","1001","Zone-01","10","East","Government","Sarvodaya Sr. Secondary Schools"
"1001111","Jhilmil Colony-GGSSS","N/A","28.670398646933801","77.309358288698903","Morning","6","12","1001","Zone-01","10","East","Government","Senior Secondary Schools"
"1001151","Shahdara, Teliwara-G(Co-ed)SS","N/A","28.671040973130001","77.288533197951907","General","6","10","1001","Zone-01","10","East","Government","Secondary Schools"
"1001194","West Azad Nagar-G(co-ed)SS","N/A","28.6632924029498","77.278030304946796","General","6","10","1001","Zone-01","10","East","Government","Secondary Schools"
"1001196","Vishwas Nagar-SKV","N/A","28.661625474353301","77.295582904746595","Morning","Nursery","12","1001","Zone-01","10","East","Government","Sarvodaya Sr. Secondary Schools"
